# lambda: Angstroms, f_lambda: erg/s/cm^2/Angstrom,                          Teff=8878.4K,rad=2.271Rsol.
lambda	 f_lambda
2.232421534797626919e+03	3.631133036078287032e-11
2.234633727145191642e+03	3.569214902997956648e-11
2.236848111639226317e+03	3.481940079688241332e-11
2.239064690452009017e+03	3.573146277717082332e-11
2.241283465757978774e+03	8.013476242861329689e-12
2.243504439733721483e+03	1.997933236234895270e-11
2.245727614557987181e+03	1.876152739868678095e-11
2.247952992411676860e+03	3.466094294833580593e-11
2.250180575477862476e+03	2.430065141581382959e-11
2.252410365941770579e+03	3.375685617755349385e-11
2.254642365990795042e+03	2.644915877838571776e-11
2.256876577814502525e+03	3.159331673842990919e-11
2.259113003604621554e+03	2.011617799567751083e-11
2.261351645555061168e+03	2.545990180922420122e-11
2.263592505861895006e+03	3.418839684462674198e-11
2.265835586723382676e+03	2.723438167675989731e-11
2.268080890339952020e+03	3.438474619160721376e-11
2.270328418914221402e+03	3.414268106498166208e-11
2.272578174650982419e+03	3.490553458075080238e-11
2.274830159757220827e+03	3.269611230703795863e-11
2.277084376442099710e+03	6.064409442441071386e-12
2.279340826916980859e+03	1.228097490938266518e-11
2.281599513395410213e+03	3.511032929455550518e-11
2.283860438093127868e+03	5.274358180782275524e-12
2.286123603228074899e+03	3.467787572466898317e-11
2.288389011020383350e+03	2.405846022717463944e-11
2.290656663692392613e+03	3.043544669013204432e-11
2.292926563468636232e+03	2.898694958257340310e-11
2.295198712575859645e+03	2.398624643823061805e-11
2.297473113243008356e+03	2.541190900085767274e-11
2.299749767701242945e+03	3.437724323763232354e-11
2.302028678183927695e+03	3.489823369622126623e-11
2.304309846926648788e+03	3.238730598628537106e-11
2.306593276167197928e+03	2.873328649250696608e-11
2.308878968145594172e+03	1.532208600907967472e-11
2.311166925104066650e+03	1.114520599216822653e-11
2.313457149287075936e+03	3.352304961199236879e-12
2.315749642941299953e+03	1.635958362512067802e-11
2.318044408315642158e+03	9.336558550514022395e-12
2.320341447661242455e+03	2.632613544485499288e-11
2.322640763231461733e+03	2.326246769184050163e-11
2.324942357281902787e+03	8.839619007123908929e-12
2.327246232070395308e+03	6.067877153253325341e-12
2.329552389857014077e+03	2.656379269159225049e-11
2.331860832904065774e+03	5.064499635717088194e-13
2.334171563476107622e+03	2.442493362752081866e-11
2.336484583839930565e+03	8.157987648791628786e-12
2.338799896264582912e+03	2.920208470045452746e-11
2.341117503021350785e+03	3.237232799928694457e-11
2.343437406383780854e+03	1.038775891660755025e-11
2.345759608627665330e+03	1.946751756151946345e-12
2.348084112031052427e+03	2.828828334876173588e-11
2.350410918874254548e+03	1.879584379899272725e-11
2.352740031439832819e+03	1.927906253877979290e-11
2.355071452012622103e+03	1.701619391860169562e-11
2.357405182879710537e+03	2.038795844522022025e-11
2.359741226330461814e+03	1.758971966149659448e-11
2.362079584656499719e+03	2.221987023413252354e-11
2.364420260151728144e+03	2.560413618795958871e-11
2.366763255112313800e+03	2.072313944616663034e-11
2.369108571836709416e+03	1.608933352312218538e-11
2.371456212625634635e+03	2.499957938350093963e-11
2.373806179782099662e+03	2.518986194756269473e-11
2.376158475611389349e+03	6.690746330243640317e-12
2.378513102421072290e+03	8.762020180369196599e-12
2.380870062521011278e+03	1.723575354489270495e-12
2.383229358223349209e+03	2.339726888842960428e-12
2.385590991842528183e+03	1.598721518949212057e-11
2.387954965695276314e+03	2.984042872992264066e-11
2.390321282100624558e+03	2.427708160698409059e-11
2.392689943379894430e+03	1.110205555479921296e-11
2.395060951856716201e+03	1.123252428288780563e-11
2.397434309857013432e+03	1.918303081675905742e-11
2.399810019709024346e+03	4.504743810370750597e-13
2.402188083743283642e+03	6.706880985246260753e-12
2.404568504292646594e+03	2.479118204233609868e-11
2.406951283692272227e+03	1.178609525781668081e-11
2.409336424279633320e+03	2.142333535553738937e-11
2.411723928394525956e+03	1.655714230029663188e-11
2.414113798379056789e+03	1.576715316946962646e-12
2.416506036577660780e+03	2.573646175665849796e-11
2.418900645337088008e+03	3.248909890257534519e-11
2.421297627006423227e+03	3.258903036298902160e-11
2.423696983937068580e+03	2.768591584125510438e-11
2.426098718482767708e+03	3.158437846882831891e-11
2.428502832999585735e+03	1.212764777191240564e-11
2.430909329845931552e+03	1.999215401117001079e-11
2.433318211382543268e+03	1.682921494788761898e-11
2.435729479972506397e+03	2.889423627036771763e-11
2.438143137981242035e+03	2.781791977587294873e-12
2.440559187776514136e+03	6.519459236825244111e-12
2.442977631728440883e+03	3.298207766438403210e-11
2.445398472209479678e+03	2.824618715071622249e-11
2.447821711594448061e+03	2.544034891464894790e-11
2.450247352260507341e+03	1.299041119572863325e-11
2.452675396587183968e+03	6.517783576676269157e-12
2.455105846956352707e+03	3.366089360889057804e-11
2.457538705752258920e+03	2.799608355384644763e-11
2.459973975361500379e+03	2.037112427179883060e-11
2.462411658173049545e+03	2.216826231216011279e-12
2.464851756578235836e+03	4.671108821248135331e-12
2.467294272970769725e+03	2.192601378397741618e-11
2.469739209746722281e+03	3.303420040261163797e-11
2.472186569304550176e+03	1.215533910041547334e-11
2.474636354045077496e+03	2.360865915689721250e-11
2.477088566371509842e+03	2.293659563428757960e-11
2.479543208689439780e+03	7.814118773063423500e-12
2.482000283406834114e+03	3.076770321398779832e-11
2.484459792934056168e+03	3.502728470654907775e-12
2.486921739683848045e+03	2.875887091275052419e-11
2.489386126071352010e+03	2.559508743269999276e-11
2.491852954514093653e+03	7.664419697767624915e-12
2.494322227432005093e+03	1.240243823490887087e-12
2.496793947247404958e+03	1.881107819499617407e-11
2.499268116385023404e+03	3.148368051051687052e-11
2.501744737271985741e+03	3.230991021393475176e-11
2.504223812337821983e+03	1.772847008245081920e-11
2.506705344014477305e+03	6.256049719681819590e-12
2.509189334736297042e+03	3.272005394501900751e-11
2.511675786940048511e+03	3.892805635098447654e-12
2.514164703064903733e+03	3.228892913357375989e-11
2.516656085552461718e+03	1.712564428048171639e-11
2.519149936846731180e+03	4.541709905986590017e-12
2.521646259394153276e+03	8.611258119862471619e-12
2.524145055643582054e+03	9.630733259622966840e-12
2.526646328046309009e+03	2.447833213979241110e-11
2.529150079056044888e+03	6.719579325426422858e-12
2.531656311128941979e+03	2.805433409010730884e-12
2.534165026723575465e+03	2.789976373002018861e-11
2.536676228300967978e+03	2.620382247151032970e-11
2.539189918324572773e+03	1.157166701374663631e-11
2.541706099260284645e+03	2.333314074342734614e-11
2.544224773576449024e+03	2.090858877752223764e-11
2.546745943743847420e+03	4.147778435591488975e-12
2.549269612235720160e+03	2.573142012351434111e-11
2.551795781527747749e+03	6.737079129829211789e-12
2.554324454098074057e+03	1.018184029677353833e-11
2.556855632427289038e+03	1.725762605740398864e-11
2.559389318998450108e+03	5.080863510092173192e-12
2.561925516297066679e+03	2.705035160275462358e-11
2.564464226811119261e+03	1.854146465110686005e-11
2.567005453031044908e+03	1.410073406038876705e-11
2.569549197449758140e+03	3.165289663726467422e-11
2.572095462562636840e+03	2.923553122437410400e-11
2.574644250867531355e+03	6.886993506706434188e-12
2.577195564864774042e+03	3.092450479179035288e-11
2.579749407057166081e+03	3.156791156963110773e-11
2.582305779949998396e+03	3.176868993645119393e-11
2.584864686051033914e+03	2.944800232514914642e-11
2.587426127870531218e+03	7.340918178635936948e-12
2.589990107921226354e+03	3.182735615598666354e-11
2.592556628718355569e+03	1.692260032341277853e-11
2.595125692779636211e+03	2.936840584307814626e-11
2.597697302625292650e+03	2.942309358879568598e-11
2.600271460778034907e+03	7.134297653360059206e-12
2.602848169763083661e+03	3.090364208699402292e-11
2.605427432108153880e+03	3.083703424670641798e-11
2.608009250343466192e+03	7.355384356838000609e-12
2.610593627001755067e+03	2.867866869694896559e-11
2.613180564618255630e+03	2.594128002801100642e-11
2.615770065730725037e+03	3.069144198405805651e-11
2.618362132879423825e+03	2.841382950462766761e-11
2.620956768607142749e+03	3.062268922673188094e-11
2.623553975459179128e+03	2.720836510259826024e-11
2.626153755983364135e+03	2.471075754450256473e-11
2.628756112730044151e+03	2.946597211432919230e-11
2.631361048252101682e+03	1.031945146341621487e-11
2.633968565104939444e+03	6.296209103802679505e-12
2.636578665846502190e+03	2.657895307071190309e-11
2.639191353037262616e+03	2.622309534352859383e-11
2.641806629240229540e+03	3.242292735285845947e-11
2.644424497020960189e+03	2.837905409157541736e-11
2.647044958947543364e+03	2.259238045427747915e-11
2.649668017590623549e+03	2.979166503310257860e-11
2.652293675523380898e+03	3.256101654965380124e-11
2.654921935321557612e+03	3.191249045570966358e-11
2.657552799563436110e+03	3.192348431135294047e-11
2.660186270829865862e+03	2.891522424131745638e-11
2.662822351704242465e+03	1.563284514466846674e-11
2.665461044772531295e+03	2.575647942963029797e-11
2.668102352623251136e+03	9.661623390991798481e-12
2.670746277847495548e+03	2.905571035604151858e-11
2.673392823038917868e+03	2.246449493702879115e-11
2.676041990793741661e+03	2.989619342423023455e-11
2.678693783710771640e+03	7.704186151540389137e-12
2.681348204391375930e+03	3.043271126044804541e-11
2.684005255439512439e+03	2.841737417513260184e-11
2.686664939461707490e+03	2.762485491153061518e-11
2.689327259067082650e+03	6.866701269221198446e-12
2.691992216867332445e+03	3.127839134076643924e-11
2.694659815476751191e+03	1.088508631057464414e-11
2.697330057512212989e+03	3.030959531895961833e-11
2.700002945593195818e+03	1.241913261912461216e-11
2.702678482341762447e+03	1.412860744370842676e-11
2.705356670382584980e+03	1.749696720426040497e-11
2.708037512342925311e+03	2.080527849855025159e-11
2.710721010852659674e+03	2.221083057423554507e-11
2.713407168544262731e+03	2.377915710752855422e-11
2.716095988052816665e+03	3.149235159259614516e-11
2.718787472016024367e+03	3.050254812305566799e-11
2.721481623074190338e+03	2.992686566426109662e-11
2.724178443870247520e+03	3.024033577424277547e-11
2.726877937049735920e+03	2.880941070529878746e-11
2.729580105260829441e+03	3.110811106298695838e-11
2.732284951154313148e+03	3.035709297469374158e-11
2.734992477383611458e+03	3.184610193098518456e-11
2.737702686604766768e+03	2.667878601604684402e-11
2.740415581476464467e+03	2.502891508567843756e-11
2.743131164660015656e+03	3.531018486615715621e-12
2.745849438819370334e+03	2.291316925426422972e-11
2.748570406621124221e+03	7.883265511420541041e-12
2.751294070734506022e+03	7.810663739025738576e-12
2.754020433831400169e+03	2.480547790536202044e-11
2.756749498586328173e+03	2.191828568593933781e-11
2.759481267676471361e+03	2.845872665835490984e-11
2.762215743781654965e+03	2.498822887800792133e-11
