SpT	Teff	logT	logL	Mbol	BCv	Mv	B-V	Bt-Vt	G-V	Bp-Rp	G-Rp	M_G	b-y	U-B	V-Rc	V-Ic	V-Ks	J-H	H-Ks	Ks-W1	W1-W2	W1-W3	W1-W4	M_J	M_Ks	R_Rsun	Msun	H-K	log(g)_x10	met	model
F8	6170	3.79	0.31	3.96	-0.07	4.01	0.53	0.558	-0.14	0.694	0.385	3.9	0.35	0.001	0.3	0.599	1.29	0.225	0.061	0.027	-0.039	-0.044	-0.016	3.01	2.72	1.25	1.18	0.061	45	0	NextGen
F9	6060	3.782	0.26	4.07	-0.08	4.15	0.552	0.587	-0.146	0.719	0.399	4.04	0.378	0.014	0.312	0.62	1.34	0.237	0.063	0.027	-0.041	-0.044	-0.014	3.11	2.81	1.23	1.14	0.063	45	0	NextGen
G0	5920	3.772	0.14	4.4	-0.09	4.45	0.596	0.65	-0.155	0.782	0.438	4.46		0.058	0.336	0.664	1.44	0.262	0.067	0.027	-0.043	-0.043	-0.01	3.34	3.01	1.12	1.08	0.066	45	0	NextGen
G1	5880	3.769	0.13	4.4	-0.1	4.5	0.625	0.661	-0.162	0.803	0.448	4.58		0.067	0.34	0.672	1.458	0.267	0.068	0.027	-0.044	-0.042	-0.01	3.38	3.04	1.12	1.07	0.068	45	0	NextGen
G2	5770	3.761	0.01	4.68	-0.11	4.79	0.65	0.724	-0.167	0.823	0.459	4.65		0.133	0.363	0.713	1.564	0.293	0.073	0.028	-0.05	-0.04	-0.016	3.57	3.2	1.01	1.02	0.073	45	0	NextGen
G3	5720	3.757	-0.01	4.74	-0.12	4.86	0.66	0.739	-0.169	0.832	0.464	4.72		0.152	0.368	0.722	1.59	0.299	0.074	0.028	-0.05	-0.04	-0.014	3.64	3.27	1.01	1	0.074	45	0	NextGen
G4	5680	3.754	-0.04	4.8	-0.13	4.94	0.67	0.757	-0.172	0.841	0.468	4.79		0.175	0.374	0.733	1.621	0.307	0.075	0.028	-0.052	-0.041	-0.014	3.7	3.32	0.986	0.99	0.075	45	0	NextGen
G5	5660	3.753	-0.05	4.84	-0.13	4.98	0.68	0.764	-0.174	0.85	0.473	4.83		0.185	0.377	0.738	1.635	0.31	0.076	0.028	-0.052	-0.041	-0.014	3.74	3.35	0.982	0.98	0.076	45	0	NextGen
G6	5590	3.747	-0.11	4.98	-0.15	5.13	0.7	0.796	-0.18	0.869	0.483	4.97		0.227	0.388	0.758	1.691	0.324	0.079	0.028	-0.053	-0.04	-0.012	3.84	3.44	0.939	0.97	0.079	45	0	NextGen
G7	5530	3.743	-0.12	5.02	-0.16	5.18	0.71	0.809	-0.182	0.88	0.489	5.02		0.243	0.393	0.766	1.712	0.329	0.08	0.028	-0.054	-0.04	-0.013	3.88	3.47	0.949	0.96	0.08	45	0	NextGen
G8	5490	3.734	-0.17	5.15	-0.17	5.32	0.73	0.842	-0.188	0.9	0.499	5.15		0.284	0.404	0.786	1.768	0.342	0.082	0.028	-0.057	-0.039	-0.018	3.97	3.55	0.909	0.94	0.082	45	0	NextGen
G9	5340	3.728	-0.25	5.34	-0.21	5.55	0.775	0.894	-0.204	0.95	0.524	5.34		0.358	0.423	0.82	1.861	0.365	0.087	0.029	-0.06	-0.038	-0.018	4.14	3.69	0.876	0.9	0.087	45	0	NextGen
K0	5280	3.723	-0.33	5.54	-0.22	5.76	0.816	0.944	-0.221	0.98	0.56	5.53		0.436	0.443	0.853	1.953	0.387	0.091	0.03	-0.063	-0.037	-0.015	4.29	3.81	0.817	0.87	0.091	45	0	NextGen
K1	5170	3.713	-0.36	5.65	-0.26	5.89	0.842	0.976	-0.232	1.01	0.56	5.63		0.491	0.457	0.879	2.021	0.402	0.094	0.03	-0.064	-0.038	-0.013	4.37	3.87	0.814	0.85	0.094	45	0	NextGen
K2	5040	3.702	-0.47	5.88	-0.29	6.19	0.884	1.035	-0.254	1.1	0.62	5.89		0.581	0.482	0.92	2.132	0.427	0.098	0.031	-0.068	-0.037	-0.009	4.57	4.04	0.763	0.78	0.099	45	0	NextGen
K3	4830	3.684	-0.58	6.16	-0.41	6.57	0.986	1.15	-0.322	1.21	0.66	6.26		0.776	0.537	1.013	2.38	0.483	0.109	0.033	-0.071	-0.031	-0.008	4.76	4.16	0.729	0.75	0.11	45	0	NextGen
K4	4600	3.663	-0.67	6.42	-0.56	6.98	1.1	1.306	-0.412	1.32	0.7	6.55		1.004	0.64	1.19	2.733	0.544	0.125	0.039	-0.073	-0.031	0.009	4.92	4.25	0.726	0.72	0.125	45	0	NextGen
K5	4410	3.644	-0.78	6.68	-0.68	7.36	1.15	1.373	-0.454	1.45	0.74	6.95		1.081	0.685	1.272	2.883	0.568	0.132	0.042	-0.073	-0.029	0.019	5.18	4.48	0.698	0.68	0.13	45	0	NextGen
K6	4230	3.626	-0.9	6.99	-0.81	7.8	1.24	1.439	-0.528	1.58	0.79	7.32		1.184	0.759	1.42	3.143	0.601	0.148	0.049				5.41	4.66	0.661	0.65	0.151	45	0	NextGen
K7	4070	3.61	-0.98	7.18	-0.95	8.15	1.33	1.506	-0.595	1.71	0.87	7.58		1.221	0.806	1.529	3.33	0.617	0.162	0.057				5.6	4.82	0.654	0.63	0.168	45	0	NextGen
K8	4000	3.602	-1.1	7.44	-1.03	8.47	1.38	1.562	-0.628	1.72	0.88	7.84		1.216	0.843	1.632	3.487	0.623	0.176	0.081				5.78	4.98	0.587	0.59	0.181	45	0	NextGen
K9	3940	3.595	-1.18	7.59	-1.1	8.69	1.42	1.593	-0.69	1.78	0.9	8		1.21	0.866	1.699	3.584	0.625	0.184	0.101				5.92	5.11	0.552	0.56	0.197	45	0	NextGen
M0	3870	3.588	-1.2	7.75	-1.16	8.91	1.408	1.623	-0.65	1.84	0.92	8.26		1.204	0.889	1.766	3.68	0.626	0.193	0.122				6.04	5.22	0.559	0.55	0.203	45	0	NextGen
M1	3700	3.568	-1.4	8.25	-1.44	9.69	1.475		-0.82	2.09	1.01	8.87		1.172	0.959	2.019	4.02	0.613	0.225	0.137				6.51	5.67	0.496	0.49	0.227	50	0	NextGen
M2	3550	3.55	-1.57	8.65	-1.65	10.3	1.5		-0.92	2.25	1.06	9.38		1.17	1.001	2.173	4.24	0.6	0.234	0.11				6.89	6.06	0.434	0.44	0.234	50	0	NextGen
M3	3410	3.533	-1.78	9.17	-1.97	11.14	1.544		-1.09	2.49	1.12	10.05		1.181	1.079	2.42	4.6	0.579	0.252	0.122				7.4	6.54	0.369	0.36	0.252	50	0	NextGen
M4	3200	3.505	-2.2	10.21	-2.59	12.8	1.661		-1.41	2.95	1.24	11.39		1.222	1.241	2.831	5.25	0.557	0.282	0.139				8.39	7.55	0.258	0.22	0.282	50	0	NextGen
M5	3030	3.481	-2.52	11.02	-3.28	14.3	1.874		-1.74	3.36	1.33	12.56		1.24	1.446	3.277	5.94	0.58	0.311		0.17			9.25	8.36	0.199	0.16	0.311	50	0	NextGen
M6	2850	3.455	-3.02	12.26	-4.36	16.62	2		-2.14	3.95	1.45	14.48		1.3	1.95	4.13	7.3	0.605	0.352		0.21			10.28	9.32	0.127	0.1	0.352	50	0	NextGen
M7	2650	3.423	-3.21	12.75	-5.06	17.81	2.06		-2.98	4.75	1.52	14.83			2.18	4.45	8.05	0.613	0.386		0.24			10.76	9.76	0.118	0.09	0.3868	50	0	NextGen
M8	2500	3.398	-3.36	13.14	-5.7	18.84	2.2		-3.08	4.8	1.57	15.73			2.15	4.64	8.73	0.67	0.45		0.26			11.23	10.11	0.111	0.082	0.4462	50	0	NextGen
M9	2400	3.38	-3.57	13.67	-5.9	19.36			-3	4.78	1.59	16.29			1.89	4.75	9	0.749	0.48		0.27			11.53	10.3	0.095	0.079	0.4815	50	0	NextGen
